ServiceType,Category,Name,NetworkProvider,Out-Of-NetworkProvider,Limitations,####
Diagnostic test,Endoscopic and Colonoscopic Procedures,Upper gastrointestinal endoscopy (EGD),30% coinsurance,Not covered,not provided,####
Diagnostic test,Endoscopic and Colonoscopic Procedures,Flexible sigmoidoscopy,30% coinsurance,Not covered,not provided,####
Diagnostic test,Biopsies,Skin biopsy,30% coinsurance,Not covered,not provided,####
Diagnostic test,Biopsies,Liver biopsy,30% coinsurance,Not covered,not provided,####
Diagnostic test,Biopsies,Bone marrow biopsy,30% coinsurance,Not covered,not provided,####
Diagnostic test,Biopsies,Prostate biopsy,30% coinsurance,Not covered,not provided,####
Diagnostic test,Allergy Testing,Skin prick tests,30% coinsurance,Not covered,not provided,####
Diagnostic test,Allergy Testing,Blood tests for specific IgE antibodies,30% coinsurance,Not covered,not provided,####
Diagnostic test,Pulmonary Function Tests,Spirometry,30% coinsurance,Not covered,not provided,####
Diagnostic test,Pulmonary Function Tests,Peak flow measurement,30% coinsurance,Not covered,not provided,####
Diagnostic test,Pulmonary Function Tests,Lung diffusion capacity test,30% coinsurance,Not covered,not provided,####
Diagnostic test,Sleep Studies,Polysomnography (overnight sleep study),30% coinsurance,Not covered,not provided,####
Diagnostic test,Sleep Studies,Home sleep apnea testing,30% coinsurance,Not covered,not provided,####
Diagnostic test,Cancer Screening Tests,Pap smear (cervical cancer screening),30% coinsurance,Not covered,not provided,####
Diagnostic test,Cancer Screening Tests,"Colon cancer screening (colonoscopy, fecal occult blood test)",30% coinsurance,Not covered,not provided,####
Diagnostic test,Cancer Screening Tests,Mammography (breast cancer screening),30% coinsurance,Not covered,not provided,####
Diagnostic test,Cancer Screening Tests,Prostate-specific antigen (PSA) test,30% coinsurance,Not covered,not provided,####
Outpatient services,Surgical Procedures,Appendectomy (removal of appendix),Office Visit: $65 copayment/visit Deductible does not apply. Facility: 30% coinsurance,Not covered,not provided,####
Outpatient services,Surgical Procedures,Hernia repair surgery,Office Visit: $65 copayment/visit Deductible does not apply. Facility: 30% coinsurance,Not covered,not provided,####
Outpatient services,Surgical Procedures,Gallbladder removal (cholecystectomy),Office Visit: $65 copayment/visit Deductible does not apply. Facility: 30% coinsurance,Not covered,not provided,####
Outpatient services,Surgical Procedures,Tonsillectomy (removal of tonsils),Office Visit: $65 copayment/visit Deductible does not apply. Facility: 30% coinsurance,Not covered,not provided,####
Outpatient services,Surgical Procedures,Cataract surgery,Office Visit: $65 copayment/visit Deductible does not apply. Facility: 30% coinsurance,Not covered,not provided,####
Outpatient services,Surgical Procedures,Arthroscopic knee surgery,Office Visit: $65 copayment/visit Deductible does not apply. Facility: 30% coinsurance,Not covered,not provided,####
Outpatient services,Surgical Procedures,Cesarean section (C-section),Office Visit: $65 copayment/visit Deductible does not apply. Facility: 30% coinsurance,Not covered,not provided,####
Outpatient services,Surgical Procedures,Hysterectomy (removal of uterus),Office Visit: $65 copayment/visit Deductible does not apply. Facility: 30% coinsurance,Not covered,not provided,####
Outpatient services,Surgical Procedures,Prostatectomy (removal of prostate gland),Office Visit: $65 copayment/visit Deductible does not apply. Facility: 30% coinsurance,Not covered,not provided,####
Outpatient services,Surgical Procedures,Mastectomy (breast removal),Office Visit: $65 copayment/visit Deductible does not apply. Facility: 30% coinsurance,Not covered,not provided,####
Outpatient services,Surgical Procedures,Coronary artery bypass graft (CABG),Office Visit: $65 copayment/visit Deductible does not apply. Facility: 30% coinsurance,Not covered,not provided,####
Outpatient services,Surgical Procedures,Hip replacement surgery,Office Visit: $65 copayment/visit Deductible does not apply. Facility: 30% coinsurance,Not covered,not provided,####
Outpatient services,Surgical Procedures,Spinal fusion surgery,Office Visit: $65 copayment/visit Deductible does not apply. Facility: 30% coinsurance,Not covered,not provided,####
Outpatient services,Surgical Procedures,Kidney stone removal (lithotripsy),Office Visit: $65 copayment/visit Deductible does not apply. Facility: 30% coinsurance,Not covered,not provided,####
Outpatient services,Surgical Procedures,"Dental surgeries (e.g., wisdom teeth extraction)",Office Visit: $65 copayment/visit Deductible does not apply. Facility: 30% coinsurance,Not covered,not provided,####
Outpatient services,Surgical Procedures,"Plastic and reconstructive surgeries (e.g., breast reconstruction after mastectomy)",Office Visit: $65 copayment/visit Deductible does not apply. Facility: 30% coinsurance,Not covered,not provided,####
Outpatient services,Organ Transplants,Kidney transplant,Office Visit: $65 copayment/visit Deductible does not apply. Facility: 30% coinsurance,Not covered,not provided,####
Outpatient services,Organ Transplants,Liver transplant,Office Visit: $65 copayment/visit Deductible does not apply. Facility: 30% coinsurance,Not covered,not provided,####
Outpatient services,Organ Transplants,Heart transplant,Office Visit: $65 copayment/visit Deductible does not apply. Facility: 30% coinsurance,Not covered,not provided,####
Outpatient services,Organ Transplants,Lung transplant,Office Visit: $65 copayment/visit Deductible does not apply. Facility: 30% coinsurance,Not covered,not provided,####
Outpatient services,Organ Transplants,Bone marrow transplant,Office Visit: $65 copayment/visit Deductible does not apply. Facility: 30% coinsurance,Not covered,not provided,####
Outpatient services,Cancer Treatments,Chemotherapy,Office Visit: $65 copayment/visit Deductible does not apply. Facility: 30% coinsurance,Not covered,not provided,####
Outpatient services,Cancer Treatments,Radiation therapy,Office Visit: $65 copayment/visit Deductible does not apply. Facility: 30% coinsurance,Not covered,not provided,####
Outpatient services,Cancer Treatments,Surgery for tumor removal,Office Visit: $65 copayment/visit Deductible does not apply. Facility: 30% coinsurance,Not covered,not provided,####
Outpatient services,Cancer Treatments,Immunotherapy,Office Visit: $65 copayment/visit Deductible does not apply. Facility: 30% coinsurance,Not covered,not provided,####
Outpatient services,Cancer Treatments,Targeted therapy,Office Visit: $65 copayment/visit Deductible does not apply. Facility: 30% coinsurance,Not covered,not provided,####
Diagnostic test,Imaging Studies,Mammogram,30% coinsurance,Not covered,not provided,####
Preventive Care,Surgical Procedures,Colonoscopy,No Charge,Not covered,not provided,####
Outpatient services,Rehabilitation services,Physical therapy,Office Visit: $65 copayment/visit Deductible does not apply. Facility: 30% coinsurance,Not covered,not provided,####
Primar care visit,Surgical Procedures,Primar care visit,"No charge first 2 visits, then $25 copayment/visit Deductible does not apply.",Not covered,not provided,####
Primary care visit,Chronic conditions,illness/injury,"No charge first 2 visits, then $25 copayment/visit Deductible does not apply.",Not covered,not provided,####
Specialist visit,PCP specialities,Specialist visit,$65 copayment/visit Deductible does not apply.,Not covered,not provided,####
